"","QuerySeq","Subject","Identity","AlignLength","Mismatches","GapOpenings","QStart","QEnd","SStart","SEnd","EValue","Bitscore","Species","QuerySeq_sub","Function","Group"
"1","sp|Q9NRR4|RNC_HUMAN","Acropora_digitifera_14627",61.032,349,135,1,1001,1349,1,348,3.24e-146,454,"adig","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"2","sp|Q9NRR4|RNC_HUMAN","Acropora_digitifera_14627",31.933,119,77,2,962,1080,140,254,1.76e-10,64.3,"adig","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"3","sp|Q9UPY3|DICER_HUMAN","Acropora_digitifera_1294",44.8,375,171,7,1552,1919,200,545,9.12e-76,262,"adig","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"4","sp|Q9UPY3|DICER_HUMAN","Acropora_digitifera_1294",40.86,93,54,1,1292,1384,53,144,4.68e-14,76.3,"adig","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"5","sp|Q9UPY3|DICER_HUMAN","Acropora_digitifera_1294",32.143,56,38,0,1702,1757,74,129,2.4,32,"adig","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"6","sp|Q9UPY3|DICER_HUMAN","Acropora_digitifera_1294",36.585,41,26,0,1313,1353,325,365,3.1,31.6,"adig","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"7","sp|Q8WYQ5|DGCR8_HUMAN","Acropora_digitifera_6418",47.619,189,98,1,500,688,33,220,5.92e-54,184,"adig","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"11","sp|Q9BXP5|SRRT_HUMAN","Acropora_digitifera_10817",50.2,500,202,8,408,876,538,1021,3.62e-146,457,"adig","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"12","sp|Q9BXP5|SRRT_HUMAN","Acropora_digitifera_10817",39.64,111,49,3,220,312,1,111,5.9e-13,72,"adig","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"13","sp|Q9HAV4|XPO5_HUMAN","Acropora_digitifera_901",34.049,652,398,18,565,1204,1,632,3.98e-103,339,"adig","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
